Name,C,254	Shape_Leng,N,19,11	Shape_Area,N,19,11	X_Cent,N,19,11	Y_Cent,N,19,11
35TNG1	2,11240475596	0,272835707	27,3034826511	42,22651066
35TNG2	2,10398380187	0,27094662945	27,3013433073	41,7761875611
35TNG3	2,11223088674	0,27279018275	27,9093255937	42,2233185139
35TNG4	2,10380532724	0,27090026905	27,9029297761	41,7730422822
35TPE1	2,07923839034	0,2653724962	28,4738389067	40,4160049343
35TPE3	2,07873538313	0,2652436314	29,0628689082	40,4070000284
35TPF1	2,09517447704	0,26894948635	28,4939611972	41,3165376524
35TPF2	2,08712128769	0,2671423107	28,4837871389	40,8662884872
35TPF3	2,09464606385	0,26881252395	29,0910151152	41,3072480641
35TPF4	2,08661016664	0,267011198	29,0767785818	40,8571454841
35TQE1	2,18738911551	0,2896817858	29,6764389333	40,3936560145
35TQF1	2,12301529348	0,2751772842	29,6924121104	41,2939754865
35TQF2	2,15558716363	0,2825170837	29,6843346225	40,8438323963
36STF3	2,0211423681	0,2522984376	30,4778381414	36,7939152008
36STF4	2,01469415345	0,25084895595	30,4924566296	36,3435990414
36STG3	2,36406475095	0,3295128401	30,3673963529	37,6918728724
36STG4	2,02770132653	0,25377045105	30,4628949305	37,2441927704
36STH3	2,30777952297	0,31681946275	30,3534322989	38,5926007719
36STH4	2,3362521085	0,32324205615	30,360492753	38,1422542129
36STJ3	2,24894412097	0,30355622195	30,338831575	39,4931985291
36STJ4	2,27869666887	0,3102640582	30,3462125332	39,0429152461
36STK4	2,21851178838	0,2966962574	30,331281969	39,9434426721
36SUF1	2,02178162061	0,25245725545	31,0378854099	36,8044672099
36SUF3	2,02225361416	0,252574457	31,5981879299	36,8123865572
36SUF4	2,01580469331	0,25112466545	31,6063230588	36,3617745118
36SUG1	2,03506810662	0,255440882	31,0143598434	37,7053333941
36SUG2	2,02834919909	0,2539321418	31,0262524979	37,2549220867
36SUG3	2,0355624716	0,25556487	31,5813714256	37,7135151998
36SUG4	2,02884262059	0,2540556327	31,589875324	37,2629678989
36SUH1	2,0489673271	0,2585613523	30,9897594582	38,6060422211
36SUH2	2,04194702747	0,2569859555	31,0021953594	38,1557068897
36SUH3	2,04945280662	0,25868404385	31,5637849099	38,6144886914
36SUH4	2,04243219552	0,2571076303	31,5726788147	38,164021471
36SUJ1	2,06351921501	0,2618289607	30,9640352873	39,506601213
36SUJ2	2,05616791832	0,2601789654	30,9770392589	39,0563390778
36SUJ3	2,0640143718	0,26195458275	31,5453946201	39,5153223545
36SUJ4	2,05667349114	0,2603071801	31,5546903	39,064924309
36SUK2	2,07103252061	0,2635144184	30,9507356143	39,9568217501
36SUK4	2,07154654753	0,2636460131	31,5358862434	39,9656832088
36SVE1	2,00985143423	0,24979445685	32,1683395882	35,9162342898
36SVE3	2,01000386953	0,24983259075	32,722508296	35,9187876773
36SVF1	2,02256801355	0,2526527529	32,1586757034	36,8176674045
36SVF2	2,01614473053	0,25120907185	32,1635625394	36,3669694514
36SVF3	2,02272511564	0,2526915786	32,7192714828	36,8203077105
36SVF4	2,01629453324	0,2512467018	32,720907756	36,3695660052
36SVG1	2,03586498872	0,2556408717	32,148574301	37,7189660513
36SVG2	2,02915143133	0,2541328332	32,1536806245	37,2683344141
36SVG3	2,03604641381	0,2556859686	32,715890705	37,7216901054
36SVG4	2,02931570887	0,2541733836	32,7176002095	37,2710143843
36SVH1	2,04980283045	0,2587724271	32,1380114325	38,6201227152
36SVH2	2,04274876164	0,2571875781	32,1433509875	38,1695620692
36SVH3	2,04996776277	0,2588146681	32,7123588767	38,6229348471
36SVH4	2,042927055	0,25723210715	32,7141439049	38,1723279534
36SVJ1	2,06435105055	0,26203981635	32,1269644879	39,5211372922
36SVJ2	2,05701697856	0,26039371645	32,1325490381	39,070646725
36SVJ3	2,06452933004	0,2620853315	32,7086606018	39,5240425824
36SVJ4	2,05715856664	0,2604295422	32,7105300943	39,0735070218
36SVK2	2,07189560695	0,2637349907	32,1212518814	39,9715897042
36SVK4	2,07206010747	0,2637769008	32,7067500329	39,9745405974
36SWE1	2,01000386953	0,24983259075	33,277491704	35,9187876773
36SWE3	2,00985143423	0,24979445685	33,8316604118	35,9162342898
36SWF1	2,02272511564	0,2526915786	33,2807285172	36,8203077105
36SWF2	2,01629453324	0,2512467018	33,279092244	36,3695660052
36SWF3	2,02256801355	0,2526527529	33,8413242966	36,8176674045
36SWF4	2,01614473053	0,25120907185	33,8364374606	36,3669694514
36SWG1	2,03604641381	0,2556859686	33,284109295	37,7216901054
36SWG2	2,02931570887	0,2541733836	33,2823997905	37,2710143843
36SWG3	2,03586498872	0,2556408717	33,851425699	37,7189660513
36SWG4	2,02915143133	0,2541328332	33,8463193755	37,2683344141
36SWH1	2,04996776277	0,2588146681	33,2876411233	38,6229348471
36SWH2	2,042927055	0,25723210715	33,2858560951	38,1723279534
36SWH3	2,04980283045	0,2587724271	33,8619885675	38,6201227152
36SWH4	2,04274876164	0,2571875781	33,8566490125	38,1695620692
36SWJ1	2,06452933004	0,2620853315	33,2913393982	39,5240425824
36SWJ2	2,05715856664	0,2604295422	33,2894699057	39,0735070218
36SWJ3	2,06435105055	0,26203981635	33,8730355121	39,5211372922
36SWJ4	2,05701697856	0,26039371645	33,8674509619	39,070646725
36SWK2	2,07206010747	0,2637769008	33,2932499671	39,9745405974
36SWK4	2,07189560695	0,2637349907	33,8787481186	39,9715897042
36SXF1	2,02225361416	0,252574457	34,4018120701	36,8123865572
36SXF2	2,01580469331	0,25112466545	34,3936769412	36,3617745118
36SXF3	2,02178162061	0,25245725545	34,9621145901	36,8044672099
36SXG1	2,0355624716	0,25556487	34,4186285744	37,7135151998
36SXG2	2,02884262059	0,2540556327	34,410124676	37,2629678989
36SXG3	2,03506810662	0,255440882	34,9856401566	37,7053333941
36SXG4	2,02834919909	0,2539321418	34,9737475021	37,2549220867
36SXH1	2,04945280662	0,25868404385	34,4362150901	38,6144886914
36SXH2	2,04243219552	0,2571076303	34,4273211853	38,164021471
36SXH3	2,0489673271	0,2585613523	35,0102405418	38,6060422211
36SXH4	2,04194702747	0,2569859555	34,9978046406	38,1557068897
36SXJ1	2,0640143718	0,26195458275	34,4546053799	39,5153223545
36SXJ2	2,05667349114	0,2603071801	34,4453097	39,064924309
36SXJ3	2,06351921501	0,2618289607	35,0359647127	39,506601213
36SXJ4	2,05616791832	0,2601789654	35,0229607411	39,0563390778
36SXK2	2,07154654753	0,2636460131	34,4641137566	39,9656832088
36SXK4	2,07103252061	0,2635144184	35,0492643857	39,9568217501
36SYE3	1,82289248408	0,2076383868	36	35,8832756007
36SYF1	2,0211423681	0,2522984376	35,5221618586	36,7939152008
36SYF2	2,01470435596	0,2508518115	35,5075438863	36,343595271
36SYF3	1,69441419278	0,1786956286	36	36,7838221123
36SYF4	1,75938234861	0,193327154	36	36,3335793534
36SYG1	2,36406475095	0,3295128401	35,6326036471	37,6918728724
36SYG2	2,02770132653	0,25377045105	35,5371050695	37,2441927704
36SYG4	1,62798441972	0,1637366554	36	37,2340057466
36SYH1	2,30777952297	0,31681946275	35,6465677011	38,5926007719
36SYH2	2,3362521085	0,32324205615	35,639507247	38,1422542129
36SYJ1	2,24894412097	0,30355622195	35,661168425	39,4931985291
36SYJ2	2,27869666887	0,3102640582	35,6537874668	39,0429152461
36SYK2	2,21851178838	0,2966962574	35,668718031	39,9434426721
36TTK3	2,18738911551	0,2896817858	30,3235610667	40,3936560145
36TTL3	2,12301529348	0,2751772842	30,3075878896	41,2939754865
36TTL4	2,15558716363	0,2825170837	30,3156653775	40,8438323963
36TUK1	2,07873538313	0,2652436314	30,9371310918	40,4070000284
36TUK3	2,07923839034	0,2653724962	31,5261610933	40,4160049343
36TUL1	2,09464606385	0,26881252395	30,9089848848	41,3072480641
36TUL2	2,08661016664	0,267011198	30,9232214182	40,8571454841
36TUL3	2,09517447704	0,26894948635	31,5060388028	41,3165376524
36TUL4	2,08712128769	0,2671423107	31,5162128611	40,8662884872
36TVK1	2,07960016495	0,26546459825	32,1154117902	40,4220064259
36TVK3	2,07976098722	0,26550650145	32,7047967926	40,4250063951
36TVL1	2,09554023112	0,26904386985	32,1033203211	41,3227306907
36TVL2	2,08747515136	0,2672329837	32,1094372422	40,8723868674
36TVL3	2,09571277472	0,269088001	32,7007486771	41,325826589
36TVL4	2,08765197395	0,267278629	32,7027937073	40,8754349559
36TVM2	2,10380532724	0,27090026905	32,0970702239	41,7730422822
36TVM4	2,10398380187	0,27094662945	32,6986566927	41,7761875611
36TWK1	2,07976098722	0,26550650145	33,2952032074	40,4250063951
36TWK3	2,07960016495	0,26546459825	33,8845882098	40,4220064259
36TWL1	2,09571277472	0,269088001	33,2992513229	41,325826589
36TWL2	2,08765197395	0,267278629	33,2972062927	40,8754349559
36TWL3	2,09554023112	0,26904386985	33,8966796789	41,3227306907
36TWL4	2,08747515136	0,2672329837	33,8905627578	40,8723868674
36TWM1	2,11240475596	0,272835707	33,3034826511	42,22651066
36TWM2	2,10398380187	0,27094662945	33,3013433073	41,7761875611
36TWM4	2,10380532724	0,27090026905	33,9029297761	41,7730422822
36TXK1	2,07923839034	0,2653724962	34,4738389067	40,4160049343
36TXK3	2,07873538313	0,2652436314	35,0628689082	40,4070000284
36TXL1	2,09517447704	0,26894948635	34,4939611972	41,3165376524
36TXL2	2,08712128769	0,2671423107	34,4837871389	40,8662884872
36TXL3	2,09464606385	0,26881252395	35,0910151152	41,3072480641
36TXL4	2,08661016664	0,267011198	35,0767785818	40,8571454841
36TXM2	2,10343853524	0,2708053179	34,504372653	41,7667501842
36TXM3	2,11132023931	0,2725534095	35,1204687872	42,2073352878
36TXM4	2,10291261187	0,27066838365	35,105575343	41,7573096586
36TYK1	2,18738911551	0,2896817858	35,6764389333	40,3936560145
36TYL1	2,12301529348	0,2751772842	35,6924121104	41,2939754865
36TYL2	2,15558716363	0,2825170837	35,6843346225	40,8438323963
36TYM2	2,08971311377	0,26767566575	35,700677187	41,7440847528
37SBA3	2,0211423681	0,2522984376	36,4778381414	36,7939152008
37SBA4	2,01469415345	0,25084895595	36,4924566296	36,3435990414
37SBB3	2,36406475095	0,3295128401	36,3673963529	37,6918728724
37SBB4	2,02770132653	0,25377045105	36,4628949305	37,2441927704
37SBC3	2,30777952297	0,31681946275	36,3534322989	38,5926007719
37SBC4	2,3362521085	0,32324205615	36,360492753	38,1422542129
37SBD3	2,24894412097	0,30355622195	36,338831575	39,4931985291
37SBD4	2,27869666887	0,3102640582	36,3462125332	39,0429152461
37SBE4	2,21851178838	0,2966962574	36,331281969	39,9434426721
37SBV3	2,00844704636	0,24944718125	36,5067493144	35,8932476329
37SCA1	2,02178162061	0,25245725545	37,0378854099	36,8044672099
37SCA3	2,02225361416	0,252574457	37,5981879299	36,8123865572
37SCB1	2,03506810662	0,255440882	37,0143598434	37,7053333941
37SCB2	2,02834919909	0,2539321418	37,0262524979	37,2549220867
37SCB3	2,0355624716	0,25556487	37,5813714256	37,7135151998
37SCB4	2,02884262059	0,2540556327	37,589875324	37,2629678989
37SCC1	2,0489673271	0,2585613523	36,9897594582	38,6060422211
37SCC2	2,04194702747	0,2569859555	37,0021953594	38,1557068897
37SCC3	2,04945280662	0,25868404385	37,5637849099	38,6144886914
37SCC4	2,04243219552	0,2571076303	37,5726788147	38,164021471
37SCD1	2,06351921501	0,2618289607	36,9640352873	39,506601213
37SCD2	2,05616791832	0,2601789654	36,9770392589	39,0563390778
37SCD3	2,0640143718	0,26195458275	37,5453946201	39,5153223545
37SCD4	2,05667349114	0,2603071801	37,5546903	39,064924309
37SCE2	2,07103252061	0,2635144184	36,9507356143	39,9568217501
37SCE4	2,07154654753	0,2636460131	37,5358862434	39,9656832088
37SDA1	2,02256801355	0,2526527529	38,1586757034	36,8176674045
37SDA3	2,02272511564	0,2526915786	38,7192714828	36,8203077105
37SDB1	2,03586498872	0,2556408717	38,148574301	37,7189660513
37SDB2	2,02915143133	0,2541328332	38,1536806245	37,2683344141
37SDB3	2,03604641381	0,2556859686	38,715890705	37,7216901054
37SDB4	2,02931570887	0,2541733836	38,7176002095	37,2710143843
